Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
19,0.0,0.0,1162.0,19.0,11.0,1162.0,0.0,7.60200001,7.60200001,0.0,84.74658131599426,,,,,,,,,,,,,,,,2.2344693616941473,2.597228905090686,7.585005852874239,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,1314.0,20.0,152.0,1314.0,0.0,117.10800000999986,117.10800000999986,0.0,95.76669573783875,,,,,,,,,,,,,,,,54.74947925136689,34.95780529107467,108.89497413793018,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,81.0,1.0,81.0,1395.0,0.0,82.70200000999995,82.70200000999995,0.0,179.40592002868652,,,,,,,,,,,,,,,,33.17435736981608,25.23531166878599,80.09497203507995,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,140.0,2.0,59.0,1454.0,0.0,48.10300001000002,48.10300001000002,0.0,184.01398730278015,,,,,,,,,,,,,,,,22.031169549290784,13.82437232863931,46.85001101760946,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,201.0,3.0,61.0,1515.0,0.0,62.803000010000034,62.803000010000034,0.0,188.73577857017517,,,,,,,,,,,,,,,,27.84696532239768,19.46353330231468,61.16550062595972,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,250.0,4.0,49.0,1564.0,0.0,34.60300001000002,34.60300001000002,0.0,192.66762590408325,,,,,,,,,,,,,,,,12.510303859148053,9.26737575324957,34.02401914004178,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,299.0,5.0,49.0,1613.0,0.0,40.80200001000002,40.80200001000002,0.0,196.6140797138214,,,,,,,,,,,,,,,,18.580186096053676,11.945805280110227,39.93150239368706,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,321.0,6.0,22.0,1635.0,0.0,19.702000010000006,19.702000010000006,0.0,198.92194271087646,,,,,,,,,,,,,,,,6.581488164903504,6.5275803817138724,19.576784054426543,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,349.0,7.0,28.0,1663.0,0.0,21.90300001000001,21.90300001000001,0.0,201.46343898773193,,,,,,,,,,,,,,,,6.672712214760327,6.95627885166802,21.737901969956667,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,467.0,8.0,118.0,1781.0,0.0,130.8030000099998,130.8030000099998,0.0,210.05919933319092,,,,,,,,,,,,,,,,55.44599679020002,37.138171377106694,124.38475714590231,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,565.0,9.0,98.0,1879.0,0.0,90.60200001000004,90.60200001000004,0.0,217.27592253684998,,,,,,,,,,,,,,,,37.773565963680156,26.27919773845405,86.98717772328264,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,588.0,10.0,23.0,1902.0,0.0,21.903000010000007,21.903000010000007,0.0,219.40640544891357,,,,,,,,,,,,,,,,7.545112511173192,7.365838344033887,21.75121363587889,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,653.0,11.0,65.0,1967.0,0.0,42.70300001000004,42.70300001000004,0.0,224.44866466522217,,,,,,,,,,,,,,,,14.39539200000287,10.774351296986316,41.80910863863846,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,761.0,12.0,108.0,2075.0,0.0,109.40600000999996,109.40600000999996,0.0,232.58818340301514,,,,,,,,,,,,,,,,41.97203025095126,31.52607178323838,104.97799874163891,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,943.0,13.0,182.0,2257.0,0.0,161.60300000999976,161.60300000999976,0.0,245.46736240386963,,,,,,,,,,,,,,,,73.66656109834497,41.57697361410503,148.34402992002123,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
