Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
19,0.0,0.0,417.0,19.0,12.0,417.0,0.0,16.003000010000004,16.003000010000004,0.0,36.903435945510864,,,,,,,,,,,,,,,,5.9885096863204135,5.640084577030148,15.9470849787429,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,442.0,20.0,25.0,442.0,0.0,40.00400000999999,40.00400000999999,0.0,39.470576763153076,,,,,,,,,,,,,,,,16.69763865158641,13.190168280136984,39.62618522893927,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,19.0,1.0,19.0,461.0,0.0,28.004000010000006,28.004000010000006,0.0,68.23045349121094,,,,,,,,,,,,,,,,11.008326983931259,9.512780679210175,27.82266446176708,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,43.0,2.0,24.0,485.0,0.0,40.003000009999994,40.003000009999994,0.0,70.45508337020874,,,,,,,,,,,,,,,,17.392385011103382,13.004950130985257,39.62520797771123,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,80.0,3.0,37.0,522.0,0.0,64.00400001000001,64.00400001000001,0.0,73.59940814971924,,,,,,,,,,,,,,,,28.251488616910457,20.256786805323802,63.02171664782214,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,103.0,4.0,23.0,545.0,0.0,38.003000009999994,38.003000009999994,0.0,75.73805952072144,,,,,,,,,,,,,,,,16.42574053429434,12.411950442734883,37.66287084855979,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,121.0,5.0,18.0,563.0,0.0,24.005000010000007,24.005000010000007,0.0,77.67624402046204,,,,,,,,,,,,,,,,8.639105552535698,8.288195150545851,23.873369479533896,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,137.0,6.0,16.0,579.0,0.0,22.004000010000006,22.004000010000006,0.0,79.57674860954285,,,,,,,,,,,,,,,,8.225915618630193,7.611918523384473,21.89427963974166,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,154.0,7.0,17.0,596.0,0.0,26.003000010000004,26.003000010000004,0.0,81.32548999786377,,,,,,,,,,,,,,,,10.665804914439372,8.789968317998005,25.847528855309843,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,182.0,8.0,28.0,624.0,0.0,30.012000010000015,30.012000010000015,0.0,83.85835361480713,,,,,,,,,,,,,,,,11.345435585697803,8.251838589402078,29.72405186546593,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
